studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9900,1999-11-19,CHR,7.0,261
PAL9900,1999-11-19,CHR,7.1,15
PAL9900,1999-11-19,CHR,7.2,51
PAL9900,1999-11-19,CHR,8.0,122
PAL9900,1999-11-19,CHR,9.1,35
PAL9900,1999-11-19,CHR,10.0,3
PAL9900,1999-11-19,COR,1.0,0
PAL9900,1999-11-19,COR,2.0,78
PAL9900,1999-11-19,COR,3.0,39
PAL9900,1999-11-19,COR,4.0,0
PAL9900,1999-11-19,COR,5.0,194
PAL9900,1999-11-19,COR,5.1,86
PAL9900,1999-11-19,COR,6.0,41
PAL0001,2000-11-17,HUM,1.1,0
PAL0001,2000-11-17,HUM,1.2,0
PAL0001,2000-11-17,HUM,1.3,0
PAL0001,2000-11-17,HUM,2.1,81
PAL0001,2000-11-17,HUM,2.2,46
PAL0001,2000-11-17,HUM,3.0,198
PAL0001,2000-11-17,HUM,3.1,0
PAL0001,2000-11-17,HUM,4.0,75
PAL0001,2000-11-17,HUM,5.0,171
PAL0001,2000-11-17,LIT,1.0,5
PAL0001,2000-11-17,LIT,2.0,9
PAL0001,2000-11-17,LIT,3.0,0
PAL0001,2000-11-17,LIT,4.0,7
PAL0001,2000-11-17,LIT,5.0,42
PAL0001,2000-11-17,LIT,6.0,57
PAL0001,2000-11-17,LIT,7.0,32
PAL0001,2000-11-17,LIT,8.0,103
PAL0001,2000-11-17,LIT,9.0,19
PAL0001,2000-11-17,TOR,1.0,43
PAL0001,2000-11-17,TOR,2.0,0
PAL0001,2000-11-17,TOR,3.0,0
PAL0001,2000-11-17,TOR,4.0,106
PAL0001,2000-11-17,TOR,5.0,33
PAL0001,2000-11-17,TOR,6.0,15
PAL0001,2000-11-17,TOR,12.0,146
PAL0001,2000-11-17,TOR,13.0,115
PAL0001,2000-11-17,TOR,15.0,103
PAL0001,2000-11-17,TOR,17.0,0
PAL0001,2000-11-17,TOR,18.0,173
PAL0001,2000-11-17,TOR,20.0,125
PAL0001,2000-11-17,TOR,21.0,7
PAL0001,2000-11-17,TOR,22.0,0
PAL0001,2000-11-17,TOR,23.0,134
PAL0001,2000-11-17,TOR,23.1,0
PAL0001,2000-11-19,TOR,19.0,398
PAL0001,2000-11-23,COR,1.0,0
PAL0001,2000-11-23,COR,2.0,67
PAL0001,2000-11-23,COR,3.0,39
PAL0001,2000-11-23,COR,4.0,0
PAL0001,2000-11-23,COR,5.0,217
PAL0001,2000-11-23,COR,5.1,99
PAL0001,2000-11-23,COR,6.0,25
PAL0001,2000-11-24,CHR,1.0,128
PAL0001,2000-11-24,CHR,2.0,35
PAL0001,2000-11-24,CHR,3.0,49
PAL0001,2000-11-24,CHR,3.1,24
PAL0001,2000-11-24,CHR,4.1,2
PAL0001,2000-11-24,CHR,4.2,4
PAL0001,2000-11-24,CHR,5.0,33
PAL0001,2000-11-24,CHR,6.0,88
PAL0001,2000-11-24,CHR,7.0,246
PAL0001,2000-11-24,CHR,7.1,13
PAL0001,2000-11-24,CHR,7.2,54
PAL0001,2000-11-24,CHR,8.0,125
PAL0001,2000-11-24,CHR,9.1,34
PAL0001,2000-11-24,CHR,10.0,2
PAL0102,2001-11-19,CHR,1.0,74
PAL0102,2001-11-19,CHR,2.0,22
PAL0102,2001-11-19,CHR,3.0,26
PAL0102,2001-11-19,CHR,3.1,14
PAL0102,2001-11-19,CHR,4.1,1
PAL0102,2001-11-19,CHR,4.2,2
PAL0102,2001-11-19,CHR,5.0,19
PAL0102,2001-11-19,CHR,6.0,55
PAL0102,2001-11-19,CHR,7.1,9
PAL0102,2001-11-19,CHR,8.0,75
PAL0102,2001-11-19,CHR,9.1,28
PAL0102,2001-11-19,CHR,10.0,1
PAL0102,2001-11-19,COR,1.0,0
PAL0102,2001-11-19,COR,2.0,49
PAL0102,2001-11-19,COR,3.0,19
PAL0102,2001-11-19,COR,4.0,0
PAL0102,2001-11-19,COR,5.0,131
PAL0102,2001-11-19,COR,5.1,65
PAL0102,2001-11-19,COR,6.0,10
PAL0102,2001-11-19,HUM,1.1,0
PAL0102,2001-11-19,HUM,1.2,0
PAL0102,2001-11-19,HUM,1.3,0
PAL0102,2001-11-19,HUM,2.1,36
PAL0102,2001-11-19,HUM,2.2,30
PAL0102,2001-11-19,HUM,3.0,120
PAL0102,2001-11-19,HUM,3.1,0
PAL0102,2001-11-19,HUM,4.0,36
PAL0102,2001-11-19,HUM,5.0,89
PAL0102,2001-11-19,LIT,1.0,0
PAL0102,2001-11-19,LIT,2.0,0
PAL0102,2001-11-19,LIT,3.0,0
PAL0102,2001-11-19,LIT,4.0,0
PAL0102,2001-11-19,LIT,5.0,26
PAL0102,2001-11-19,LIT,6.0,36
PAL0102,2001-11-19,LIT,7.0,21
PAL0102,2001-11-19,LIT,8.0,72
PAL0102,2001-11-19,LIT,9.0,11
PAL0102,2001-11-19,TOR,1.0,14
PAL0102,2001-11-19,TOR,2.0,0
PAL0102,2001-11-19,TOR,3.0,0
PAL0102,2001-11-19,TOR,4.0,46
PAL0102,2001-11-19,TOR,5.0,25
PAL0102,2001-11-19,TOR,6.0,7
